Title,Abstract,Authors,Authors text,Broad Topic,Citation,Created,Doi,Editor,Files,First Author,Grant,Journal/Book,Last edited time,Link,Narrow topic,Nickname,Notes,PMID,Parent topics,Project Tasks,Publication date,Related articles,Senior Author,Start and Completion dates (estimate),Status,Team Members,Topics,Type,Year,🚀 Projects (old)
A decade of magnetic vestibular stimulation: from serendipity to physics to the clinic.,"For many years, people working near strong static magnetic fields of magnetic resonance imaging (MRI) machines have reported dizziness and sensations of vertigo. The discovery a decade ago that a sustained nystagmus can be observed in all humans with an intact labyrinth inside MRI machines led to a possible mechanism: a Lorentz force occurring in the labyrinth from the interactions of normal inner ear ionic currents and the strong static magnetic fields of the MRI machine. Inside an MRI, the Lorentz force acts to induce a constant deflection of the semicircular canal cupula of the superior and lateral semicircular canals. This inner ear stimulation creates a sensation of rotation, and a constant horizontal/torsional nystagmus that can only be observed when visual fixation is removed. Over time, the brain adapts to both the perception of rotation and the nystagmus, with the perception usually diminishing over a few minutes, and the nystagmus persisting at a reduced level for hours. This observation has led to discoveries about how the central vestibular mechanisms adapt to a constant vestibular asymmetry and is a useful model of set-point adaptation or how homeostasis is maintained in response to changes in the internal milieu or the external environment. We review what is known about the effects of stimulation of the vestibular system with high strength-magnetic fields and how the mechanism has been refined since it was first proposed. We suggest future ways that MVS might be used to understand vestibular disease and how it might be treated.","Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21), Roberts, Dale C (https://www.notion.so/Roberts-Dale-C-1095dbbb31614cf49f3a8924321165b6?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)","Ward, Roberts, Otero-Millan, Zee",Ocular motor control,"J Neurophysiol. 2019 Jun 1;121(6):2013-2019. ","June 29, 2020 1:21 PM"," 10.1152/jn.00873.2018. Epub 2019 Apr 10.",,,"Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21)",,J Neurophysiol,"April 22, 2021 2:28 PM",https://www.physiology.org/doi/abs/10.1152/jn.00873.2018,,,,30969883,,,"April 10, 2019",,"Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Review,2019,
Fixation instability in amblyopia: Oculomotor disease biomarkers predictive of treatment effectiveness.,"Amblyopic patients are known to have fixation instability, particularly of the amblyopic eye. The stability of the fixation is affected by the presence of nystagmus, the frequency and amplitude of fixational saccades and inter-saccadic drifts. Amblyopic patients without nystagmus have increased amplitude of the fixational saccades with reduced frequency of the physiologic microsaccades and have increased inter-saccadic drifts. Amblyopia patients who have experienced a disruption in binocularity in early infancy develop fusion maldevelopment nystagmus (FMN) previously called latent nystagmus as it is more evident during monocular viewing conditions. We have found that some amblyopic patients can have nystagmus with slow phases that are not directed nasally and without the reversal in direction on ocular occlusion, features seen in patients with FMN. The current mainstay of amblyopia treatment comprises of part-time occlusion therapy of the non-amblyopic eye. The amount of patching treatment is in the range of 2-6h/day as determined by the severity of amblyopia. Despite treatment, up to 40% of patients have residual amblyopia. We analyzed the effectiveness of part-time occlusion therapy in amblyopic patients as a function of fixation instability. We categorized amblyopic patients based on their eye movement waveforms obtained during a visual fixation task into those lacking nystagmus, those with FMN and those with nystagmus but no FMN. We did a retrospective chart review to gather information about their clinical characteristics and treatment response. We found that patients with FMN require a more prolonged duration of treatment and have a poorer recovery of stereopsis compared to patients with nystagmus but no FMN and patients lacking nystagmus. This study suggests that eye movement assessment provides valuable information in the management of amblyopia.","Scaramuzzi, Matteo (https://www.notion.so/Scaramuzzi-Matteo-0e6223b4ddfe4128a789cc4b58af0b3b?pvs=21), Murray, Jordan (https://www.notion.so/Murray-Jordan-8bf59185da5c4094bcd6da6bb539f926?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Nucci, Paolo (https://www.notion.so/Nucci-Paolo-c58246cd73594902aef5c565ef6db2fe?pvs=21), Shaikh, Aasef G (https://www.notion.so/Shaikh-Aasef-G-222ee231c59347b595169eb1d634a819?pvs=21), Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)","Scaramuzzi, Murray, Otero-Millan, Nucci, Shaikh, Ghasia",Diagnosis,"Prog Brain Res. 2019;249:235-248. ","June 29, 2020 1:21 PM"," 10.1016/bs.pbr.2019.04.024. Epub 2019 Jun 20.",,,"Scaramuzzi, Matteo (https://www.notion.so/Scaramuzzi-Matteo-0e6223b4ddfe4128a789cc4b58af0b3b?pvs=21)",,Prog Brain Res,"April 22, 2021 2:28 PM",https://www.sciencedirect.com/science/article/pii/S0079612319301001,,,,31325983,,,"June 20, 2019",,"Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2019,
The disturbance of gaze in progressive supranuclear palsy: implications for pathogenesis.,"Progressive supranuclear palsy (PSP) is a disease of later life that is currently regarded as a form of neurodegenerative tauopathy. Disturbance of gaze is a cardinal clinical feature of PSP that often helps clinicians to establish the diagnosis. Since the neurobiology of gaze control is now well understood, it is possible to use eye movements as investigational tools to understand aspects of the pathogenesis of PSP. In this review, we summarize each disorder of gaze control that occurs in PSP, drawing on our studies of 50 patients, and on reports from other laboratories that have measured the disturbances of eye movements. When these gaze disorders are approached by considering each functional class of eye movements and its neurobiological basis, a distinct pattern of eye movement deficits emerges that provides insight into the pathogenesis of PSP. Although some aspects of all forms of eye movements are affected in PSP, the predominant defects concern vertical saccades (slow and hypometric, both up and down), impaired vergence, and inability to modulate the linear vestibulo-ocular reflex appropriately for viewing distance. These vertical and vergence eye movements habitually work in concert to enable visuomotor skills that are important during locomotion with the hands free. Taken with the prominent early feature of falls, these findings suggest that PSP tauopathy impairs a recently evolved neural system concerned with bipedal locomotion in an erect posture and frequent gaze shifts between the distant environment and proximate hands. This approach provides a conceptual framework that can be used to address the nosological challenge posed by overlapping clinical and neuropathological features of neurodegenerative tauopathies.","Chen, Athena L (https://www.notion.so/Chen-Athena-L-9d989a6073bb4c79a960ea1e058503d6?pvs=21), Riley, DE (https://www.notion.so/Riley-DE-dd8927626ec7452ba19bfa90b4c41fca?pvs=21), King, Susan A (https://www.notion.so/King-Susan-A-4d88e8541ddb46d7b08bdca343bc8401?pvs=21), Joshi, AC (https://www.notion.so/Joshi-AC-74c37a16a68448e98ee804cfcb0b37da?pvs=21), Serra, Alessandro (https://www.notion.so/Serra-Alessandro-411c7502967e40ef84d37a5cca8d7ef7?pvs=21), Liao, K (https://www.notion.so/Liao-K-8a4eca013391406a90526d4cad31e3a6?pvs=21), Cohen, ML (https://www.notion.so/Cohen-ML-f4d69d8f61d54ebeb97dab180ae4ffd8?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21), Strupp, Michael (https://www.notion.so/Strupp-Michael-e38e6dfd8fc344f980da0296f86ad8f8?pvs=21), Leigh, R John (https://www.notion.so/Leigh-R-John-2e3b39c6e4874202b9a333d0a549efca?pvs=21)","Chen, Riley, King, Joshi, Serra, Liao, Cohen, Otero-Millan, Martinez-Conde, Strupp, Leigh",Diagnosis,"Front Neurol. 2010 Dec 3;1:147. ","June 29, 2020 1:21 PM"," 10.3389/fneur.2010.00147. eCollection 2010.",,,"Chen, Athena L (https://www.notion.so/Chen-Athena-L-9d989a6073bb4c79a960ea1e058503d6?pvs=21)",,Front Neurol,"April 22, 2021 2:53 PM",http://journal.frontiersin.org/article/10.3389/fneur.2010.00147/abstract,,,,21188269,,,"December 3, 2010",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2010,
Abnormal Fixational Eye Movements in Amblyopia.,"Purpose Fixational saccades shift the foveal image to counteract visual fading related to neural adaptation. Drifts are slow eye movements between two adjacent fixational saccades. We quantified fixational saccades and asked whether their changes could be attributed to pathologic drifts seen in amblyopia, one of the most common causes of blindness in childhood. Methods Thirty-six pediatric subjects with varying severity of amblyopia and eleven healthy age-matched controls held their gaze on a visual target. Eye movements were measured with high-resolution video-oculography during fellow eye-viewing and amblyopic eye-viewing conditions. Fixational saccades and drifts were analyzed in the amblyopic and fellow eye and compared with controls. Results We found an increase in the amplitude with decreased frequency of fixational saccades in children with amblyopia. These alterations in fixational eye movements correlated with the severity of their amblyopia. There was also an increase in eye position variance during drifts in amblyopes. There was no correlation between the eye position variance or the eye velocity during ocular drifts and the amplitude of subsequent fixational saccade. Our findings suggest that abnormalities in fixational saccades in amblyopia are independent of the ocular drift. Discussion This investigation of amblyopia in pediatric age group quantitatively characterizes the fixation instability. Impaired properties of fixational saccades could be the consequence of abnormal processing and reorganization of the visual system in amblyopia. Paucity in the visual feedback during amblyopic eye-viewing condition can attribute to the increased eye position variance and drift velocity.","Shaikh, Aasef G (https://www.notion.so/Shaikh-Aasef-G-222ee231c59347b595169eb1d634a819?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Kumar, Priyanka (https://www.notion.so/Kumar-Priyanka-c22265eefbc34448b26451df0c45cbc2?pvs=21), Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)","Shaikh, Otero-Millan, Kumar, Ghasia",Diagnosis,"PLoS One. 2016 Mar 1;11(3):e0149953. ","June 29, 2020 1:21 PM"," 10.1371/journal.pone.0149953. eCollection 2016.",,,"Shaikh, Aasef G (https://www.notion.so/Shaikh-Aasef-G-222ee231c59347b595169eb1d634a819?pvs=21)",,PLoS One,"April 22, 2021 2:38 PM",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149953,,,,26930079,,,"March 1, 2016",,"Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2016,
"Rebound nystagmus, a window into the oculomotor integrator.","Rebound nystagmus, a common cerebellar sign, is a transient nystagmus that appears on returning to straight-ahead gaze after prolonged eccentric gaze. The slow phases of rebound nystagmus are in the direction of prior eccentric gaze. After eccentric gaze, healthy subjects also show rebound nystagmus when fixation is removed. Rebound nystagmus is thought to be related to the function of the oculomotor neural integrator—the circuit that ensures accurate gaze holding after any eye movement—but the exact mechanism of rebound nystagmus is unknown. Here, we combine experimental data with mathematical modeling to test several hypotheses for the generation of rebound nystagmus. We show that two mechanisms contribute, one relies on vision and the other does not. Future experiments must determine if (1) the non-visual mechanism is related to eye position or to eye velocity signals and (2) whether these signals are based on afferent (proprioception) or efferent (corollary) information.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Colpak, Ayse Ilksen (https://www.notion.so/Colpak-Ayse-Ilksen-c73c9fd7a8024a769f9ba73225ff7d34?pvs=21), Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)","Otero-Millan, Colpak, Kheradmand, Zee",Ocular motor control,"Prog Brain Res. 2019;249:197-209. ","June 29, 2020 1:21 PM"," 10.1016/bs.pbr.2019.04.040. Epub 2019 Jun 8.",,,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Prog Brain Res,"April 22, 2021 2:32 PM",https://jhu.pure.elsevier.com/en/publications/rebound-nystagmus-a-window-into-the-oculomotor-integrator,,,,31325980,,,"June 8, 2019",,"Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Research article,2019,
Social misdirection fails to enhance a magic illusion.,"Visual, multisensory and cognitive illusions in magic performances provide new windows into the psychological and neural principles of perception, attention and cognition. We investigated a magic effect consisting of a coin “vanish” (i.e. the perceptual disappearance of a coin after a simulated toss from hand to hand). Previous research has shown that magicians can use joint attention cues such as their own gaze direction to strengthen the observers’ perception of magic. Here we presented naïve observers with videos including real and simulated coin tosses to determine if joint attention might enhance the illusory perception of simulated coin tosses. The observers’ eye positions were measured, and their perceptual responses simultaneously recorded via button press. To control for the magician’s use of joint attention cues, we occluded his head in half of the trials. We found that subjects did not direct their gaze at the magician’s face at the time of the coin toss, whether the face was visible or occluded, and that the presence of the magician’s face did not enhance the illusion. Thus, our results show that joint attention is not necessary for the perception of this effect. We conclude that social misdirection is redundant and possibly detracting to this very robust sleight-of-hand illusion. We further determined that subjects required multiple trials to effectively distinguish real from simulated tosses; thus the illusion was resilient to repeated viewing.","Cui, Jie (https://www.notion.so/Cui-Jie-8efdedde7ab5488182f30051107b4ea1?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), King, Mac (https://www.notion.so/King-Mac-b7b68827ce0242578cace4e752069045?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Cui, Otero-Millan, Macknik, King, Martinez-Conde",,"Front Hum Neurosci. 2011 Sep 29;5:103. ","June 29, 2020 1:21 PM"," 10.3389/fnhum.2011.00103. eCollection 2011.",,,"Cui, Jie (https://www.notion.so/Cui-Jie-8efdedde7ab5488182f30051107b4ea1?pvs=21)",,Front Hum Neurosci,"April 22, 2021 2:51 PM",http://www.frontiersin.org/human_neuroscience/10.3389/fnhum.2011.00103/pdf/abstract,,,,22046155,,,"September 29, 2011",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,,Research article,2011,
An oculomotor continuum from exploration to fixation.,"During visual exploration, saccadic eye movements scan the scene for objects of interest. During attempted fixation, the eyes are relatively still but often produce microsaccades. Saccadic rates during exploration are higher than those of microsaccades during fixation, reinforcing the classic view that exploration and fixation are two distinct oculomotor behaviors. An alternative model is that fixation and exploration are not dichotomous, but are instead two extremes of a functional continuum. Here, we measured the eye movements of human observers as they either fixed their gaze on a small spot or scanned natural scenes of varying sizes. As scene size diminished, so did saccade rates, until they were continuous with microsaccadic rates during fixation. Other saccadic properties varied as function of image size as well, forming a continuum with microsaccadic parameters during fixation. This saccadic continuum extended to nonrestrictive, ecological viewing conditions that allowed all types of saccades and fixation positions. Eye movement simulations moreover showed that a single model of oculomotor behavior can explain the saccadic continuum from exploration to fixation, for images of all sizes. These findings challenge the view that exploration and fixation are dichotomous, suggesting instead that visual fixation is functionally equivalent to visual exploration on a spatially focused scale.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Langston, Rachel E (https://www.notion.so/Langston-Rachel-E-98db28fde59a419dafac61f81ae3eb20?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Otero-Millan, Macknik, Langston, Martinez-Conde",Ocular motor control,"Proc Natl Acad Sci U S A. 2013 Apr 9;110(15):6175-80. ","June 29, 2020 1:21 PM"," 10.1073/pnas.1222715110. Epub 2013 Mar 26.",,,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,PNAS,"April 22, 2021 2:46 PM",http://www.pnas.org/content/110/15/6175,,,,23533278,,,"April 9, 2013",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Research article,2013,
Exploring the Role of Temporoparietal Cortex in Upright Perception and the Link With Torsional Eye Position.,"Upright perception is a key aspect of orientation constancy, as we maintain a stable perception of the world despite continuous movements of our eyes, head and body. Torsional position of the eyes can impact perception of upright by changing orientation of the images on the retina relative to gravity. Here we investigated the role of temporo-parietal cortex in upright perception with respect to ocular torsion, by means of the inhibitory effect of continuous theta burst transcranial magnetic stimulation (TMS). We used a subjective visual vertical (SVV) paradigm to track changes in upright perception, and a custom video method to track ocular torsion simultaneously. Twelve participants were tested during lateral head tilt of 20o to the left. TMS at the posterior aspect of the supramarginal gyrus (SMGp) resulted in an average SVV shift in the opposite direction of the head tilt compared to sham stimulations (1.8o). Ocular torsion following TMS at SMGp showed no significant change compared to sham stimulations (-0.1o). Thus, changes in upright perception at SMGp was dissociated from ocular torsion. This finding suggests that perception of upright at SMGp is primarily related to processing sensory inputs, as opposed to subcortical regions that have direct influence over ocular torsion.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Winnick, Ariel (https://www.notion.so/Winnick-Ariel-2a0caa2cf53246008e05ff0e438bf927?pvs=21), Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)","Otero-Millan, Winnick, Kheradmand",Vision while moving,"Front Neurol. 2018 Apr 6;9:192. ","June 29, 2020 1:21 PM"," 10.3389/fneur.2018.00192. eCollection 2018.",,,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Front Neurol,"April 22, 2021 2:21 PM",https://www.frontiersin.org/articles/10.3389/fneur.2018.00192/full,,,,29681880,,,"April 6, 2018",,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,Published🎉,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),Research article,2018,
Multiple Time Courses of Vestibular Set-Point Adaptation Revealed by Sustained Magnetic Field Stimulation of the Labyrinth.,"Summary
A major focus in neurobiology is how the brain adapts its motor behavior to changes in its internal and external environments [1, 2]. Much is known about adaptively optimizing the amplitude and direction of eye and limb movements, for example, but little is known about another essential form of learning, “set-point” adaptation. Set-point adaptation balances tonic activity so that reciprocally acting, agonist and antagonist muscles have a stable platform from which to launch accurate movements. Here, we use the vestibulo-ocular reflex—a simple behavior that stabilizes the position of the eye while the head is moving—to investigate how tonic activity is adapted toward a new set point to prevent eye drift when the head is still [3, 4]. Set-point adaptation was elicited with magneto-hydrodynamic vestibular stimulation (MVS) by placing normal humans in a 7T MRI for 90 min. MVS is ideal for prolonged labyrinthine activation because it mimics constant head acceleration and induces a sustained nystagmus similar to natural vestibular lesions [5, 6]. The MVS-induced nystagmus diminished slowly but incompletely over multiple timescales. We propose a new adaptation hypothesis, using a cascade of imperfect mathematical integrators, that reproduces the response to MVS (and more natural chair rotations), including the gradual decrease in nystagmus as the set point changes over progressively longer time courses. MVS set-point adaptation is a biological model with applications to basic neurophysiological research into all types of movements [7], functional brain imaging [8], and treatment of vestibular and higher-level attentional disorders by introducing new biases to counteract pathological ones [9].","Jareonsettasin, Prem (https://www.notion.so/Jareonsettasin-Prem-d43bfa10bbba43b499617087799f7ec3?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21), Roberts, Dale C (https://www.notion.so/Roberts-Dale-C-1095dbbb31614cf49f3a8924321165b6?pvs=21), Schubert, Michael (https://www.notion.so/Schubert-Michael-be9dd5934032430296fbd811266b54c6?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)","Jareonsettasin, Otero-Millan, Ward, Roberts, Schubert, Zee",Ocular motor control,"Curr Biol. 2016 May 23;26(10):1359-66. ","June 29, 2020 1:21 PM"," 10.1016/j.cub.2016.03.066. Epub 2016 May 12.",,,"Jareonsettasin, Prem (https://www.notion.so/Jareonsettasin-Prem-d43bfa10bbba43b499617087799f7ec3?pvs=21)",,Curr Biol,"April 22, 2021 2:39 PM",http://www.sciencedirect.com/science/article/pii/S0960982216303116,,,,27185559,,,"May 23, 2016",,"Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Research article,2016,
"Modeling the Triggering of Saccades, Microsaccades, and Saccadic Intrusions.","When we explore a static visual scene, our eyes move in a sequence of fast eye movements called saccades, which are separated by fixation periods of relative eye stability. Based on uncertain sensory and cognitive inputs, the oculomotor system must decide, at every moment, whether to initiate a saccade or remain in the fixation state. Even when we attempt to maintain our gaze on a small spot, small saccades, called microsaccades, intrude on fixation once or twice per second. Because microsaccades occur at the boundary of the decision to maintain fixation versus starting a saccade, they offer a unique opportunity to study the mechanisms that control saccadic triggering. Abnormal saccadic intrusions can occur during attempted fixation in patients with neurodegenerative disorders. We have implemented a model of the triggering mechanism of saccades, based on known anatomy and physiology, that successfully simulates the generation of saccades of any size—including microsaccades in healthy observers, and the saccadic intrusions that interrupt attempted fixation in parkinsonian patients. The model suggests that noisy neuronal activity in the Superior Colliculus controls the state of a mutually inhibitory network in the brain stem formed by burst neurons and omnipause neurons. When the neuronal activity is centered at the rostral pole the system remains at a state of fixation. When activity is perturbed away from this center, a saccade is triggered. This perturbation can be produced either by the intent to move one’s gaze or by random fluctuations in activity.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Lance Optican (https://www.notion.so/Lance-Optican-8907dada30bf4681b9006c7143b64aac?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Otero-Millan, Lance Optican, Macknik, Martinez-Conde","Diagnosis, Ocular motor control","Front Neurol. 2018 May 28;9:346. ","June 29, 2020 1:21 PM"," 10.3389/fneur.2018.00346. eCollection 2018.","Martinez-LaPiscina, Elena H (https://www.notion.so/Martinez-LaPiscina-Elena-H-af43131786414d44924df921d169002f?pvs=21)",,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Front Neurol,"July 23, 2021 11:19 AM",https://www.frontiersin.org/articles/10.3389/fneur.2018.00346/full,,,,29892256,,,"May 28, 2018",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2018,
Bilateral INO: Unusual patterns of saccadic intrusions.,"The signals for adduction during conjugate horizontal eye movements are carried through the medial longitudinal fasciculus (MLF). Lesions in this pathway cause internuclear ophthalmoplegia (INO), characterized by impaired ipsilesional adduction, often with nystagmus of the contralateral abducting eye. Usually with INO straight-ahead fixation appears steady. Here we demonstrate quantitative recordings and videos of 2 unusual patterns of saccadic intrusions in a patient with bilateral INO and discuss a plausible mechanism.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Benavides, David R (https://www.notion.so/Benavides-David-R-a71f33e4a72e48a4bcaf7023dd0ece0a?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21), Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)","Otero-Millan, Benavides, Zee, Kheradmand",Diagnosis,"Neurology. 2015 Oct 20;85(16):1428-9. ","June 29, 2020 1:21 PM"," 10.1212/WNL.0000000000002040. Epub 2015 Sep 23. No abstract available. ",,,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Neurology,"April 22, 2021 2:40 PM",http://www.neurology.org/content/85/16/1428,,,,26400577,,,"October 20, 2015",,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Case report,2015,
